aX,aY,aZ,gX,gY,gZ
1.993,0.496,0.496,-0.210,0.330,-1.571
2.352,0.598,0.598,-0.301,0.358,-1.629
2.680,0.826,0.826,-0.342,0.370,-1.627
2.857,0.551,0.551,-0.376,0.428,-1.621
2.711,0.676,0.676,-0.504,0.409,-1.688
2.839,0.555,0.555,-0.523,0.377,-1.706
2.923,0.647,0.647,-0.543,0.412,-1.757
3.114,0.747,0.747,-0.544,0.429,-1.790
3.267,0.943,0.943,-0.542,0.425,-1.800
3.427,0.999,0.999,-0.547,0.335,-1.795
3.743,1.186,1.186,-0.567,0.255,-1.809
4.114,1.167,1.167,-0.526,0.052,-1.773
5.210,0.998,0.998,-0.538,0.189,-1.795
4.636,1.912,1.912,-0.385,0.113,-1.716
5.060,2.385,2.385,-0.512,-0.213,-1.477
5.545,1.141,1.141,-0.552,-0.109,-1.429
5.692,1.057,1.057,-0.446,0.248,-1.527
5.344,2.077,2.077,-0.387,0.553,-1.498
4.787,1.543,1.543,-0.332,0.579,-1.474
5.376,2.456,2.456,-0.272,0.419,-1.432
6.155,3.007,3.007,-0.251,0.398,-1.205
6.089,1.999,1.999,-0.208,0.400,-1.050
6.056,0.903,0.903,-0.082,0.528,-1.175
5.883,2.119,2.119,0.103,0.550,-1.249
5.883,2.617,2.617,0.112,0.452,-1.177
6.009,2.189,2.189,0.102,0.334,-0.993
6.063,1.516,1.516,0.044,0.351,-0.947
6.087,1.570,1.570,0.049,0.399,-0.943
5.918,1.614,1.614,0.007,0.500,-0.938
5.988,1.469,1.469,0.011,0.498,-0.928
6.079,1.440,1.440,0.022,0.479,-0.927
6.596,1.622,1.622,0.013,0.458,-0.918
6.919,1.655,1.655,0.046,0.536,-0.859
6.940,1.571,1.571,0.052,0.640,-0.788
7.003,1.436,1.436,0.044,0.651,-0.752
7.116,1.252,1.252,0.030,0.643,-0.683
6.894,0.913,0.913,0.029,0.683,-0.682
7.052,0.909,0.909,0.028,0.761,-0.687
6.845,0.914,0.914,0.054,0.873,-0.652
6.417,1.149,1.149,0.087,0.916,-0.551
6.130,0.755,0.755,0.001,0.871,-0.542
6.340,0.496,0.496,-0.055,0.833,-0.578
6.434,0.796,0.796,-0.020,0.890,-0.566
6.239,0.682,0.682,-0.056,0.947,-0.543
5.950,0.447,0.447,-0.065,0.958,-0.545
6.066,0.786,0.786,-0.034,0.867,-0.549
6.283,0.864,0.864,-0.030,0.860,-0.518
6.288,0.720,0.720,-0.057,0.838,-0.525
6.529,0.706,0.706,-0.045,0.877,-0.529
6.586,0.757,0.757,-0.040,0.914,-0.543
6.445,0.606,0.606,-0.007,0.865,-0.554
6.747,0.706,0.706,0.040,0.727,-0.536
6.899,0.275,0.275,0.051,0.634,-0.556
6.855,0.424,0.424,0.113,0.566,-0.550
7.356,0.739,0.739,0.093,0.548,-0.475
7.471,0.462,0.462,0.029,0.649,-0.404
7.247,-0.012,-0.012,-0.076,0.604,-0.487
7.745,0.678,0.678,-0.092,0.443,-0.480
7.815,0.974,0.974,-0.116,0.346,-0.394
8.001,0.776,0.776,-0.193,0.316,-0.312
7.673,0.944,0.944,-0.084,0.264,-0.263
7.909,1.183,1.183,-0.111,0.318,-0.166
7.694,0.845,0.845,-0.064,0.381,-0.079
7.667,0.941,0.941,-0.057,0.361,-0.009
7.420,1.175,1.175,0.015,0.287,0.136
7.384,0.988,0.988,-0.002,0.192,0.245
7.311,0.569,0.569,0.099,0.102,0.343
7.212,0.478,0.478,0.164,0.116,0.404
7.138,1.027,1.027,0.188,0.153,0.445
7.315,0.570,0.570,0.113,0.369,0.609
6.051,0.037,0.037,0.231,0.553,0.714
5.170,-0.212,-0.212,0.248,0.446,0.730
4.813,-0.640,-0.640,0.249,0.162,0.684
5.139,-0.218,-0.218,0.268,0.088,0.658
5.046,0.058,0.058,0.300,0.120,0.742
4.922,0.179,0.179,0.180,0.126,0.931
3.791,-2.058,-2.058,0.009,0.412,0.828
3.260,-0.539,-0.539,0.013,0.445,0.664
3.856,-0.355,-0.355,0.197,0.292,1.074
2.507,-3.018,-3.018,0.500,0.106,0.967
1.467,-3.431,-3.431,0.797,-0.097,0.574
3.038,-0.129,-0.129,0.960,-0.375,0.042
4.362,3.097,3.097,0.733,0.031,0.486
3.941,1.383,1.383,0.528,0.383,0.954
2.835,-0.681,-0.681,0.357,0.617,1.048
2.501,0.309,0.309,0.337,0.676,1.033
2.127,0.002,0.002,0.359,0.705,1.117
1.939,-0.434,-0.434,0.365,0.678,1.072
2.468,0.790,0.790,0.385,0.661,1.115
2.766,1.135,1.135,0.324,0.715,1.253
2.678,0.901,0.901,0.244,0.814,1.424
1.845,0.869,0.869,0.308,0.802,1.586
0.903,-0.040,-0.040,0.369,0.690,1.524
0.003,0.571,0.571,0.534,0.317,1.419
-1.142,0.311,0.311,0.722,-0.233,1.358
-0.843,0.127,0.127,0.765,-0.850,1.080
-0.009,1.443,1.443,0.732,-1.099,1.017
0.197,1.423,1.423,0.636,-1.182,1.160
-0.525,0.104,0.104,0.635,-1.173,1.145
-1.448,-0.057,-0.057,0.785,-1.266,1.031
-2.667,0.709,0.709,0.919,-1.578,0.862
-3.590,0.511,0.511,0.962,-2.206,0.828
-3.528,1.017,1.017,0.884,-2.801,0.821
-3.077,1.513,1.513,0.656,-3.436,1.048
-3.682,-0.375,-0.375,0.318,-3.616,1.114
-2.942,-0.875,-0.875,0.317,-3.340,1.100
-4.446,-2.105,-2.105,0.824,-3.492,0.500
-1.818,6.491,6.491,0.414,-3.229,1.229
-2.612,2.410,2.410,-0.034,-2.720,2.150
-3.001,-4.456,-4.456,-0.192,-1.807,2.195
-5.212,-5.024,-5.024,0.295,-1.428,1.378
-5.892,-1.883,-1.883,0.481,-1.683,0.938
-5.192,-0.935,-0.935,0.585,-2.048,0.760
-2.484,0.736,0.736,0.910,-2.022,0.942
2.428,2.612,2.612,0.799,-1.392,1.399
-1.919,-0.781,-0.781,0.834,-0.540,1.836
-2.965,-0.761,-0.761,0.669,-1.194,1.311
-1.038,1.512,1.512,0.660,-1.493,1.212
-0.238,1.753,1.753,0.717,-1.139,1.658

-2.633,-3.535,-3.535,0.367,-0.084,0.648
-2.458,-3.591,-3.591,0.430,-0.031,0.622
-2.724,-3.505,-3.505,0.470,0.010,0.544
-2.313,-3.510,-3.510,0.450,0.040,0.367
-2.126,-3.364,-3.364,0.438,0.032,0.266
-1.994,-3.091,-3.091,0.424,0.021,0.186
-2.278,-2.663,-2.663,0.469,0.103,0.176
-2.101,-2.595,-2.595,0.538,0.214,0.175
-1.810,-2.548,-2.548,0.584,0.300,0.139
-1.600,-2.544,-2.544,0.551,0.313,0.079
-1.526,-2.517,-2.517,0.484,0.293,0.018
-1.341,-2.513,-2.513,0.390,0.267,-0.066
-1.211,-2.519,-2.519,0.333,0.250,-0.122
-1.060,-2.563,-2.563,0.313,0.253,-0.150
-0.992,-2.465,-2.465,0.308,0.258,-0.173
-0.695,-2.500,-2.500,0.298,0.275,-0.196
-0.615,-2.487,-2.487,0.291,0.291,-0.201
-0.411,-2.489,-2.489,0.281,0.320,-0.238
-0.111,-2.660,-2.660,0.274,0.357,-0.305
0.055,-2.565,-2.565,0.284,0.352,-0.388
2.269,-3.907,-3.907,0.305,0.314,-0.455
-0.939,-2.665,-2.665,0.209,-0.069,-0.558
1.238,-3.086,-3.086,0.217,0.052,-0.559
0.092,-2.621,-2.621,0.348,0.213,-0.629
0.836,-2.582,-2.582,0.518,0.289,-0.561
0.209,-2.033,-2.033,0.566,0.453,-0.675
0.721,-1.833,-1.833,0.611,0.514,-0.711
0.514,-1.576,-1.576,0.665,0.571,-0.715
0.781,-1.253,-1.253,0.664,0.558,-0.739
1.014,-1.144,-1.144,0.674,0.494,-0.715
0.792,-0.900,-0.900,0.676,0.419,-0.685
0.603,-0.643,-0.643,0.597,0.453,-0.670
0.759,-0.447,-0.447,0.567,0.431,-0.660
0.599,-0.316,-0.316,0.523,0.452,-0.656
0.704,-0.150,-0.150,0.490,0.494,-0.648
0.610,-0.058,-0.058,0.462,0.521,-0.633
0.617,0.051,0.051,0.362,0.523,-0.622
0.759,0.022,0.022,0.250,0.511,-0.596
0.815,-0.115,-0.115,0.190,0.495,-0.567
1.005,-0.211,-0.211,0.129,0.470,-0.534
1.074,-0.366,-0.366,0.078,0.450,-0.501
1.179,-0.472,-0.472,0.039,0.430,-0.483
1.263,-0.589,-0.589,0.001,0.394,-0.462
1.337,-0.737,-0.737,-0.036,0.371,-0.461
1.526,-0.910,-0.910,-0.054,0.357,-0.464
1.613,-1.046,-1.046,-0.054,0.343,-0.476
1.594,-1.138,-1.138,-0.056,0.332,-0.499
1.558,-1.218,-1.218,-0.038,0.320,-0.531
1.517,-1.157,-1.157,-0.026,0.320,-0.557
1.431,-1.101,-1.101,-0.007,0.324,-0.589
1.383,-0.989,-0.989,0.006,0.325,-0.620
1.257,-0.904,-0.904,0.010,0.312,-0.639
1.208,-0.825,-0.825,0.007,0.288,-0.659
1.161,-0.691,-0.691,0.002,0.276,-0.677
1.109,-0.579,-0.579,0.000,0.276,-0.689
0.970,-0.370,-0.370,-0.005,0.285,-0.696
1.068,-0.212,-0.212,-0.020,0.288,-0.699
0.727,-0.128,-0.128,-0.031,0.266,-0.684
0.713,0.156,0.156,-0.100,0.262,-0.691
0.656,0.228,0.228,-0.152,0.302,-0.702
0.714,0.256,0.256,-0.164,0.302,-0.692
0.718,0.368,0.368,-0.194,0.316,-0.666
0.671,0.417,0.417,-0.223,0.322,-0.630
0.657,0.451,0.451,-0.245,0.313,-0.609
0.710,0.428,0.428,-0.282,0.322,-0.593
0.747,0.354,0.354,-0.305,0.341,-0.598
0.817,0.356,0.356,-0.316,0.347,-0.603
0.937,0.274,0.274,-0.333,0.352,-0.614
0.960,0.235,0.235,-0.346,0.366,-0.623
0.946,0.245,0.245,-0.348,0.366,-0.627
0.903,0.282,0.282,-0.354,0.368,-0.634
0.974,0.309,0.309,-0.353,0.376,-0.649
0.913,0.341,0.341,-0.350,0.382,-0.661
0.885,0.343,0.343,-0.355,0.385,-0.672
0.928,0.308,0.308,-0.370,0.382,-0.689
0.929,0.288,0.288,-0.384,0.376,-0.712
0.915,0.301,0.301,-0.388,0.376,-0.724
0.901,0.365,0.365,-0.396,0.383,-0.745
0.986,0.461,0.461,-0.413,0.390,-0.764
0.985,0.513,0.513,-0.430,0.392,-0.775
1.045,0.545,0.545,-0.447,0.410,-0.792
1.034,0.605,0.605,-0.438,0.428,-0.805
1.079,0.630,0.630,-0.431,0.446,-0.817
1.161,0.730,0.730,-0.398,0.461,-0.827
1.166,0.776,0.776,-0.362,0.484,-0.835
1.189,0.892,0.892,-0.328,0.492,-0.841
1.245,0.931,0.931,-0.287,0.506,-0.847
1.225,1.006,1.006,-0.249,0.506,-0.854
1.266,1.075,1.075,-0.222,0.520,-0.858
1.180,1.171,1.171,-0.176,0.526,-0.857
1.198,1.265,1.265,-0.149,0.519,-0.858
1.174,1.324,1.324,-0.139,0.496,-0.860
1.071,1.490,1.490,-0.153,0.461,-0.857
1.130,1.615,1.615,-0.172,0.426,-0.841
1.079,1.681,1.681,-0.176,0.413,-0.824
1.001,1.826,1.826,-0.175,0.405,-0.797
1.122,1.935,1.935,-0.189,0.416,-0.777
1.160,1.934,1.934,-0.209,0.425,-0.750
1.189,1.923,1.923,-0.221,0.430,-0.729
1.254,1.852,1.852,-0.244,0.442,-0.696
1.417,1.744,1.744,-0.255,0.453,-0.669
1.496,1.606,1.606,-0.258,0.469,-0.654
1.626,1.419,1.419,-0.253,0.494,-0.641
1.837,1.245,1.245,-0.248,0.499,-0.641
1.941,1.061,1.061,-0.243,0.494,-0.646
1.982,0.913,0.913,-0.244,0.490,-0.656
2.046,0.848,0.848,-0.233,0.483,-0.664
2.033,0.798,0.798,-0.227,0.481,-0.674
2.021,0.796,0.796,-0.222,0.476,-0.689
1.962,0.902,0.902,-0.226,0.466,-0.705
1.894,0.926,0.926,-0.231,0.471,-0.712
1.744,1.133,1.133,-0.231,0.479,-0.715
1.728,1.204,1.204,-0.235,0.488,-0.713
1.674,1.241,1.241,-0.238,0.492,-0.712
1.664,1.287,1.287,-0.260,0.499,-0.702
1.762,1.383,1.383,-0.271,0.493,-0.693
1.807,1.398,1.398,-0.277,0.496,-0.679
1.879,1.417,1.417,-0.276,0.499,-0.658
1.991,1.365,1.365,-0.264,0.503,-0.637

2.176,1.098,1.098,0.502,0.475,-0.569
2.100,1.137,1.137,0.497,0.435,-0.581
1.931,1.157,1.157,0.551,0.328,-0.582
1.949,1.227,1.227,0.549,0.355,-0.508
2.112,1.001,1.001,0.558,0.315,-0.474
2.074,0.911,0.911,0.524,0.241,-0.467
2.113,0.766,0.766,0.502,0.135,-0.480
2.037,0.793,0.793,0.516,0.047,-0.488
1.870,0.979,0.979,0.501,0.028,-0.452
2.086,0.922,0.922,0.440,0.006,-0.420
2.002,0.875,0.875,0.332,-0.005,-0.442
1.986,0.886,0.886,0.203,-0.038,-0.495
2.016,0.812,0.812,0.072,-0.061,-0.581
1.990,0.828,0.828,0.030,-0.092,-0.625
2.025,0.915,0.915,-0.003,-0.053,-0.618
2.130,0.685,0.685,-0.036,-0.006,-0.614
2.111,0.723,0.723,-0.071,0.013,-0.628
2.106,0.695,0.695,-0.099,0.022,-0.641
2.182,0.798,0.798,-0.098,0.016,-0.642
2.194,0.942,0.942,-0.125,0.043,-0.640
2.127,0.989,0.989,-0.178,0.106,-0.622
2.127,0.805,0.805,-0.221,0.145,-0.592
2.178,0.643,0.643,-0.267,0.162,-0.586
2.097,0.593,0.593,-0.332,0.184,-0.601
2.167,0.637,0.637,-0.418,0.217,-0.601
2.429,1.009,1.009,-0.470,0.201,-0.640
2.202,0.651,0.651,-0.587,0.309,-0.587
2.229,0.793,0.793,-0.577,0.223,-0.592
2.367,0.688,0.688,-0.595,0.214,-0.534
2.353,0.651,0.651,-0.593,0.267,-0.512
2.451,0.525,0.525,-0.552,0.311,-0.462
2.440,0.308,0.308,-0.514,0.353,-0.469
2.311,0.307,0.307,-0.483,0.390,-0.499
2.344,0.221,0.221,-0.426,0.399,-0.523
2.312,0.174,0.174,-0.350,0.362,-0.578
2.467,0.307,0.307,-0.302,0.351,-0.603
2.446,0.343,0.343,-0.234,0.318,-0.574
2.477,0.477,0.477,-0.226,0.322,-0.562
2.334,0.322,0.322,-0.244,0.374,-0.552
2.216,0.142,0.142,-0.212,0.394,-0.564
2.247,0.247,0.247,-0.142,0.318,-0.618
2.305,0.505,0.505,-0.109,0.278,-0.610
2.344,0.476,0.476,-0.087,0.295,-0.563
2.241,0.401,0.401,-0.071,0.314,-0.503
2.308,0.397,0.397,-0.066,0.305,-0.498
1.948,0.366,0.366,-0.060,0.288,-0.507
2.298,0.602,0.602,-0.033,0.192,-0.429
2.004,0.346,0.346,-0.105,0.266,-0.419
2.043,0.537,0.537,-0.145,0.331,-0.432
1.810,0.409,0.409,-0.150,0.378,-0.438
1.821,0.579,0.579,-0.153,0.360,-0.427
1.691,0.656,0.656,-0.179,0.350,-0.400
1.737,0.718,0.718,-0.204,0.296,-0.380
1.739,0.713,0.713,-0.287,0.334,-0.358
1.808,0.643,0.643,-0.310,0.355,-0.326
1.762,0.541,0.541,-0.316,0.386,-0.298
1.727,0.441,0.441,-0.312,0.397,-0.283
1.688,0.455,0.455,-0.304,0.390,-0.272
1.607,0.484,0.484,-0.315,0.367,-0.241
1.566,0.526,0.526,-0.348,0.334,-0.184
1.638,0.393,0.393,-0.348,0.316,-0.146
1.520,0.207,0.207,-0.386,0.335,-0.117
1.462,0.118,0.118,-0.403,0.346,-0.089
1.461,0.097,0.097,-0.415,0.344,-0.069
1.328,0.058,0.058,-0.435,0.335,-0.050
1.297,-0.033,-0.033,-0.461,0.326,-0.028
1.295,-0.121,-0.121,-0.452,0.288,0.012
