aX,aY,aZ,gX,gY,gZ
-0.750,1.609,1.609,0.540,1.854,-0.458
-0.946,0.765,0.765,0.094,1.056,-0.086
0.828,-1.597,-1.597,0.152,1.059,-0.236
0.765,0.598,0.598,0.251,1.497,-0.337
-0.471,0.849,0.849,0.147,1.472,-0.220
0.060,-0.022,-0.022,0.028,1.100,-0.269
0.443,0.349,0.349,0.033,1.076,-0.331
-0.072,1.300,1.300,0.043,1.093,-0.292
0.056,0.349,0.349,-0.024,1.097,-0.255
-0.063,0.863,0.863,-0.027,0.927,-0.345
0.267,1.545,1.545,-0.084,0.652,-0.294
-0.184,1.331,1.331,-0.079,0.686,-0.231
-0.152,1.441,1.441,-0.089,0.593,-0.226
0.301,1.520,1.520,-0.135,0.432,-0.210
0.201,1.837,1.837,-0.101,0.387,-0.155
0.014,1.922,1.922,-0.077,0.322,-0.090
-0.207,1.499,1.499,-0.110,0.092,-0.094
0.520,1.769,1.769,-0.081,-0.038,-0.105
0.299,1.663,1.663,-0.101,0.007,0.004
0.110,1.297,1.297,-0.112,-0.074,-0.009
0.305,1.665,1.665,-0.109,-0.252,0.026
0.172,1.233,1.233,-0.138,-0.365,0.061
0.638,1.448,1.448,-0.138,-0.468,0.084
0.221,0.860,0.860,-0.170,-0.540,0.165
0.034,0.768,0.768,-0.138,-0.597,0.127
0.216,0.513,0.513,-0.192,-0.617,0.094
0.043,0.630,0.630,-0.183,-0.708,0.115
0.188,0.087,0.087,-0.242,-0.794,0.128
0.142,0.109,0.109,-0.245,-0.759,0.093
0.007,0.472,0.472,-0.295,-0.822,0.136
0.200,-0.063,-0.063,-0.380,-0.868,0.176
-0.123,-0.183,-0.183,-0.379,-0.881,0.163
0.062,-0.114,-0.114,-0.441,-0.874,0.163
-0.061,-0.173,-0.173,-0.468,-0.854,0.197
-0.037,-0.563,-0.563,-0.524,-0.907,0.192
0.072,-0.562,-0.562,-0.563,-0.854,0.119
-0.108,-0.306,-0.306,-0.610,-0.812,0.116
-0.021,-0.563,-0.563,-0.650,-0.831,0.104
